state,country,shape,latitude,longitude 
ny,us,circle,42.0963889,-79.3758333
,gb,oval,51.316667,-0.266667
ri,us,oval,41.55,-71.4666667
ct,us,disk,41.35,-72.0788889
ma,,flash,42.468164,-71.014118
va,us,light,37.6086111,-77.3736111
tn,,,35.947474,-86.488367
on,ca,flash,43.25,-79.833333
ct,us,fireball,41.5622222,-72.6511111
oh,us,fireball,41.4819444,-81.7983333
pa,us,circle,39.9625,-76.7280556
ne,us,circle,41.1238889,-100.765
oh,us,triangle,39.5297222,-84.0866667
ct,us,circle,41.1669444,-73.2052778
ca,,triangle,37.615223,-122.389979
ca,us,sphere,32.7152778,-117.1563889
mi,us,oval,42.5802778,-83.0302778
ny,us,light,43.0480556,-76.1477778
ny,us,circle,43.0480556,-76.1477778
co,us,light,38.8338889,-104.8208333
al,us,changing,32.9975,-87.63
ny,us,disk,40.7141667,-74.0063889
on,,triangle,44.136076,-79.308339
nm,us,fireball,32.3122222,-106.7777778
il,us,light,37.7305556,-88.9330556
ca,us,other,37.3394444,-121.8938889
az,us,sphere,33.4483333,-112.0733333
wa,us,light,46.6022222,-120.5047222
tx,us,changing,30.2669444,-97.7427778
tn,us,cigar,36.3436111,-83.2841667
wa,us,light,46.8219444,-123.095
ny,us,cylinder,41.1147222,-74.15
ca,us,rectangle,33.7397222,-116.4119444
nj,,light,40.858433,-74.163755
fl,us,chevron,28.0777778,-82.7638889
ky,,triangle,36.864209,-86.710273
mo,us,light,38.6272222,-90.1977778
on,ca,light,45.416667,-75.7
oh,us,light,40.9780556,-81.7822222
nb,ca,light,45.716667,-67
vt,us,light,44.4905556,-73.1113889
la,us,circle,29.9938889,-90.2416667
oh,us,circle,39.7463889,-84.2866667
nh,us,light,42.7647222,-71.4402778
mi,us,light,42.9275,-83.63
mn,us,circle,44.7791667,-93.3361111
mi,us,sphere,42.4775,-83.0277778
mi,us,triangle,42.3086111,-83.4822222
wv,us,triangle,39.1611111,-80.3522222
nh,us,light,42.7647222,-71.4402778
fl,us,egg,26.9338889,-80.0944444
mi,us,circle,42.5294444,-83.7802778
,au,,-23.697479,133.883621
mn,us,light,44.9133333,-93.5030556
mo,us,fireball,38.3708333,-90.5002778
il,us,sphere,41.2455556,-89.9247222
il,us,sphere,41.2455556,-89.9247222
nm,us,sphere,35.0844444,-106.6505556
nj,us,triangle,39.7763889,-74.8627778
ca,us,chevron,33.9533333,-117.3952778
ny,us,,40.7141667,-74.0063889
wv,us,,38.4191667,-82.4452778
va,us,light,36.6336111,-81.7838889
,,sphere,64.066667,-21.95
ca,us,other,37.5422222,-122.515
pr,us,cigar,18.4463889,-66.3880556
tn,us,light,36.5452778,-82.6611111
in,us,sphere,39.7944444,-87.3958333
me,us,sphere,44.3875,-68.2044444
ca,us,fireball,38.4088889,-121.3705556
al,us,light,32.3666667,-86.3
ca,us,light,34.0522222,-118.2427778
wi,,unknown,45.124411,-92.673537
mi,us,oval,41.9438889,-85.6325
or,us,light,45.2630556,-122.6913889
on,ca,disk,45.333333,-80.033333
ny,us,oval,42.0386111,-78.3411111
ny,us,oval,42.0386111,-78.3411111
ny,us,oval,42.0386111,-78.3411111
ny,us,oval,42.0386111,-78.3411111
mo,us,other,36.6230556,-93.1638889
nv,us,cigar,40.9730556,-117.7347222
or,us,triangle,42.1947222,-122.7083333
ks,us,light,37.6866667,-96.9763889
tx,us,light,30.3880556,-95.6961111
ar,us,light,36.4011111,-93.7377778
ky,,disk,37.704344,-88.426757
il,us,disk,41.9316667,-87.9888889
,gb,diamond,51.514125,-0.093689
ny,us,light,43.9747222,-75.9111111
ca,us,light,38.7138889,-121.4616667
,gb,changing,52.75,-3.883333
ca,us,light,33.9791667,-118.0319444
wi,us,light,45.1244444,-92.6733333
ak,us,other,64.8377778,-147.7163889
co,us,light,39.7391667,-104.9841667
ms,us,teardrop,31.2516667,-89.8375
ca,us,triangle,39.2191667,-121.06
oh,us,teardrop,40.7425,-84.1052778
mo,us,fireball,37.2152778,-93.2980556
nv,us,sphere,39.5297222,-119.8127778
ma,us,cylinder,42.1625,-71.0416667
tx,us,fireball,32.7833333,-96.8
ca,us,,32.7152778,-117.1563889
mn,us,circle,43.6666667,-92.9744444
ny,us,egg,40.7141667,-74.0063889
ca,us,sphere,39.3280556,-120.1822222
ky,,fireball,37.916104,-85.956247
mi,us,circle,43.4197222,-85.8
ne,,cigar,41.492537,-99.901813
ca,us,light,38.7297222,-120.7975
co,us,unknown,40.0991667,-104.9366667
in,us,disk,39.1652778,-86.5263889
mo,us,chevron,39.0911111,-94.4152778
hi,us,triangle,21.3069444,-157.8583333
ca,us,rectangle,34.0522222,-118.2427778
or,us,light,44.9194444,-123.3158333
nj,us,other,39.7327778,-75.1319444
ca,us,light,37.3394444,-121.8938889
,,light,27.477936,-99.549573
ca,us,formation,36.6777778,-121.6544444
ca,us,circle,35.1186111,-120.5897222
ca,us,rectangle,36.7477778,-119.7713889
oh,,light,41.314497,-81.83569
tx,us,fireball,27.5061111,-99.5072222
fl,us,formation,26.6155556,-80.0572222
ny,us,light,42.9638889,-78.7380556
,gb,formation,52.683333,-2.016667
fl,us,light,28.1875,-82.7397222
mn,us,circle,44.8041667,-93.1666667
ar,,circle,36.188137,-94.540496
ut,,formation,39.32098,-111.093731
ut,us,light,40.6808333,-112.2622222
hi,,light,21.344507,-157.974891
az,us,light,33.5805556,-112.2366667
az,us,formation,33.3702778,-112.5830556
az,us,light,32.8794444,-111.7566667
az,us,triangle,33.4147222,-111.9086111
al,us,light,30.6941667,-88.0430556
nj,us,oval,40.8527778,-74.0425
ia,us,light,42.2711111,-95.0927778
,gb,oval,53.433333,-1.35
tn,us,disk,36.1658333,-86.7844444
in,,circle,41.615591,-87.529487
me,,disk,43.161748,-70.648258
ar,,oval,34.746481,-92.289595
wa,us,unknown,47.8211111,-122.3138889
ca,us,fireball,34.0625,-118.1219444
mn,us,light,47.0227778,-91.6705556
fl,us,diamond,30.4211111,-87.2169444
fl,us,light,30.6322222,-87.0397222
,gb,formation,51.816667,-1.283333
ca,us,circle,34.2241667,-118.2391667
ok,us,light,36.3955556,-97.8780556
tx,us,triangle,35.5361111,-100.9594444
ny,us,oval,43.2127778,-75.4561111
ky,us,oval,39.0297222,-84.3663889
or,us,cylinder,45.2944444,-123.1752778
or,us,circle,45.4077778,-122.5691667
,,unknown,-27.597553,152.7455
wa,us,triangle,47.6063889,-122.3308333
sc,us,light,35.0241667,-81.0280556
al,us,disk,30.2458333,-87.7008333
,gb,unknown,51.514125,-0.093689
,,chevron,46.62794,14.30899
tx,us,disk,25.9013889,-97.4972222
ca,us,light,37.9780556,-122.03
nc,us,sphere,35.6708333,-80.4744444
,,cylinder,-27.088079,152.928057
ct,us,circle,41.1669444,-73.2052778
md,us,sphere,39.5122222,-76.7697222
ca,us,light,33.9533333,-117.3952778
fl,us,triangle,26.1416667,-81.795
tx,us,light,31.2577778,-95.9780556
il,,changing,41.885738,-87.969213
nm,us,fireball,35.0844444,-106.6505556
ca,us,triangle,34.0522222,-118.2427778
wa,,unknown,48.50389,-122.23611
ny,us,other,40.7616667,-73.3297222
md,us,light,37.9833333,-75.8541667
nf,ca,flash,47.55,-52.666667
mi,us,triangle,42.3713889,-83.4702778
az,us,egg,33.5386111,-112.1852778
ky,us,disk,38.2541667,-85.7594444
fl,us,oval,26.7052778,-80.0366667
ri,us,circle,41.9666667,-71.55
in,us,flash,39.5741667,-86.8652778
wi,us,light,43.0730556,-89.4011111
ca,us,other,33.8491667,-118.3875
wa,,rectangle,46.553733,-120.383162
ny,us,oval,42.6525,-73.7566667
fl,us,sphere,26.7052778,-80.0366667
ca,us,changing,38.6786111,-121.2247222
mn,us,light,44.8277778,-92.9436111
ca,us,circle,34.1361111,-117.8644444
ca,us,triangle,33.0416667,-116.8672222
ca,us,other,37.5958333,-122.0180556
mi,,fireball,42.586888,-82.919551
il,us,chevron,37.8902778,-88.3030556
nv,us,other,36.0397222,-114.9811111
ut,us,light,37.6775,-113.0611111
ia,us,light,41.6005556,-93.6088889
ma,us,circle,41.6361111,-70.9347222
ct,us,,41.3325,-73.2077778
nc,us,circle,33.9133333,-78.3041667
ky,us,unknown,37.7622222,-84.8433333
ma,us,unknown,42.2625,-71.8027778
nj,us,sphere,40.6377778,-74.4513889
ma,us,light,42.6105556,-71.2347222
ny,,disk,40.695655,-73.325675
in,us,cigar,41.6347222,-84.9994444
md,us,light,39.2544444,-76.7002778
