"country","datetime","count"
"ca","06/03/2006",1
"ca","06/03/2010",1
"ca","06/03/2011",2
"ca","06/03/2013",1
"ca","06/05/2007",2
"ca","06/05/2011",1
"ca","06/05/2013",3
"ca","06/06/2006",1
"ca","06/06/2007",1
"ca","06/06/2012",1
"ca","06/07/2005",1
"ca","06/07/2010",1
"ca","06/07/2013",1
"ca","06/08/2006",1
"ca","06/09/2007",2
"ca","06/09/2012",1
"ca","06/09/2013",2
"ca","06/10/2005",2
"ca","06/10/2007",3
"ca","06/10/2011",1
"ca","06/11/2005",1
"ca","06/12/2006",2
"ca","06/12/2009",1
"ca","06/12/2013",2
"ca","07/01/2005",2
"ca","07/01/2006",1
"ca","07/01/2008",2
"ca","07/01/2009",1
"ca","07/01/2010",3
"ca","07/01/2011",3
"ca","07/01/2012",6
"ca","07/01/2013",2
"ca","07/02/2005",2
"ca","07/02/2010",2
"ca","07/02/2011",1
"ca","07/02/2012",3
"ca","07/03/2005",1
"ca","07/03/2007",1
"ca","07/03/2010",4
"ca","07/03/2013",1
"ca","07/04/2009",2
"ca","07/04/2010",3
"ca","07/04/2012",1
"ca","07/04/2013",1
"ca","07/05/2005",1
"ca","07/05/2006",1
"ca","07/05/2007",1
"ca","07/06/2005",1
"ca","07/06/2007",1
"ca","07/06/2008",1
"ca","07/06/2009",1
"ca","07/06/2012",1
"ca","07/06/2013",2
"ca","07/07/2008",1
"ca","07/07/2012",2
"ca","07/08/2005",1
"ca","07/08/2009",1
"ca","07/08/2010",1
"ca","07/08/2012",2
"ca","07/08/2013",1
"ca","07/09/2006",1
"ca","07/09/2009",1
"ca","07/09/2010",1
"ca","07/10/2006",1
"ca","07/10/2010",3
"ca","07/10/2013",3
"ca","07/11/2005",1
"ca","07/11/2006",1
"ca","07/11/2009",2
"ca","07/11/2010",1
"ca","07/11/2012",2
"ca","07/11/2013",2
"ca","07/12/2008",1
"ca","07/12/2009",1
"ca","07/12/2012",1
"ca","07/12/2013",6
"ca","08/01/2005",4
"ca","08/01/2007",1
"ca","08/01/2009",2
"ca","08/01/2010",1
"ca","08/01/2013",1
"ca","08/02/2005",1
"ca","08/02/2008",2
"ca","08/02/2009",1
"ca","08/02/2010",1
"ca","08/02/2013",2
"ca","08/03/2005",1
"ca","08/03/2009",1
"ca","08/03/2010",1
"ca","08/03/2012",1
"ca","08/03/2013",4
"ca","08/04/2005",1
"ca","08/04/2006",2
"ca","08/04/2007",1
"ca","08/04/2010",2
"ca","08/04/2011",1
"ca","08/04/2012",1
"ca","08/04/2013",1
"ca","08/05/2005",2
"ca","08/05/2006",2
"ca","08/05/2009",1
"ca","08/05/2012",4
"ca","08/05/2013",2
"ca","08/06/2005",2
"ca","08/06/2008",1
"ca","08/06/2010",1
"ca","08/06/2011",1
"ca","08/06/2012",1
"ca","08/06/2013",1
"ca","08/07/2008",1
"ca","08/08/2006",1
"ca","08/08/2008",2
"ca","08/08/2010",2
"ca","08/08/2011",1
"ca","08/08/2012",2
"ca","08/08/2013",3
"ca","08/09/2006",2
"ca","08/09/2007",1
"ca","08/09/2010",2
"ca","08/09/2011",1
"ca","08/09/2012",1
"ca","08/09/2013",5
"ca","08/10/2006",1
"ca","08/10/2007",1
"ca","08/10/2008",1
"ca","08/10/2012",1
"ca","08/10/2013",7
"ca","08/11/2006",2
"ca","08/11/2009",2
"ca","08/12/2005",2
"ca","08/12/2006",1
"ca","08/12/2007",1
"ca","08/12/2008",2
"ca","08/12/2010",3
"ca","08/12/2011",2
"ca","08/12/2012",2
"ca","08/12/2013",1
"ca","09/01/2006",2
"ca","09/01/2007",1
"ca","09/01/2008",2
"ca","09/01/2010",3
"ca","09/01/2011",1
"ca","09/01/2012",3
"ca","09/01/2013",3
"ca","09/02/2006",3
"ca","09/02/2009",1
"ca","09/02/2010",3
"ca","09/02/2012",5
"ca","09/03/2006",2
"ca","09/03/2007",2
"ca","09/03/2009",2
"ca","09/03/2011",2
"ca","09/04/2005",1
"ca","09/04/2009",1
"ca","09/04/2012",1
"ca","09/05/2007",1
"ca","09/05/2008",1
"ca","09/05/2010",1
"ca","09/05/2013",1
"ca","09/06/2005",3
"ca","09/06/2010",1
"ca","09/07/2005",1
"ca","09/07/2012",2
"ca","09/08/2007",2
"ca","09/08/2009",1
"ca","09/08/2010",2
"ca","09/08/2011",1
"ca","09/08/2012",6
"ca","09/09/2005",3
"ca","09/09/2012",1
"ca","09/09/2013",2
"ca","09/10/2005",1
"ca","09/10/2006",1
"ca","09/10/2008",1
"ca","09/10/2011",3
"ca","09/10/2012",1
"ca","09/10/2013",1
"ca","09/11/2005",1
"ca","09/11/2007",2
"ca","09/11/2012",4
"ca","09/12/2009",1
"ca","09/12/2012",2
"ca","1/13/2007",1
"ca","1/13/2013",1
"ca","1/14/2014",1
"ca","1/15/2005",1
"ca","1/15/2006",1
"ca","1/15/2009",1
"ca","1/15/2010",1
"ca","1/16/2006",1
"ca","1/16/2012",1
"ca","1/16/2014",1
"ca","1/17/2005",1
"ca","1/17/2006",1
"ca","1/17/2008",1
"ca","1/17/2012",1
"ca","1/18/2007",1
"ca","1/19/2007",1
"ca","1/19/2008",2
"ca","1/19/2014",1
"ca","1/20/2007",2
"ca","1/20/2008",1
"ca","1/20/2012",1
"ca","1/21/2007",1
