datetime,latitude,longitude 
2/11/2005,56.55,-2.583333
2/11/2005,4.533333,-75.65
2/11/2005,47.2152778,-123.0994444
2/11/2005,38.3980556,-85.755
2/11/2005,33.5805556,-112.2366667
2/11/2005,31.1497222,-81.4916667
2/11/2005,34.0105556,-95.5094444
2/11/2005,28.9002778,-81.2638889
2/12/2005,42.0866667,-71.475
2/12/2005,40.866487,-73.035662
2/12/2005,41.4286111,-90.4608333
2/12/2005,51.514125,-0.093689
2/12/2005,39.7683333,-86.1580556
2/12/2005,43.0116667,-88.2313889
2/12/2005,44.6669444,-93.6266667
2/12/2005,34.9530556,-120.4347222
2/12/2005,43.25,-79.833333
2/12/2005,42.9205556,-83.045
2/12/2005,32.7152778,-117.1563889
2/12/2005,-35.04278,173.902626
2/12/2005,36.5297222,-87.3594444
2/12/2005,32.6875,-83.3466667
2/12/2005,37.6141667,-88.7080556
2/13/2005,43.9,-78.866667
2/13/2005,25.9013889,-97.4972222
2/13/2005,42.2972222,-71.075
2/13/2005,34.2783333,-119.2922222
2/13/2005,23.810332,90.412518
2/14/2005,39.2902778,-76.6125
2/14/2005,35.3858333,-94.3983333
2/14/2005,29.2363889,-89.9872222
2/14/2005,48.5344444,-123.0158333
2/14/2005,42.3583333,-71.0602778
2/14/2005,44.2727778,-121.1727778
2/14/2005,47.3177778,-119.5525
2/14/2005,28.0202778,-97.0541667
2/14/2005,47.1302778,-119.2769444
2/15/2005,53.277963,-110.006145
2/15/2005,63.176683,14.636068
2/15/2005,38.3555556,-98.5805556
2/15/2005,33.9533333,-117.3952778
2/15/2005,48.2413889,-122.3694444
2/15/2005,39.2666667,-81.5616667
2/15/2005,47.6063889,-122.3308333
2/15/2005,34.7202778,-80.7711111
2/15/2005,27.3361111,-82.5308333
2/15/2005,40.2736111,-76.8847222
2/15/2005,40.2736111,-76.8847222
2/15/2005,45.483333,-75.65
2/15/2005,37.5311111,-84.6619444
2/15/2005,-34.928661,138.598633
2/15/2005,37.6319444,-85.5083333
2/15/2005,48.4,-89.233333
2/16/2005,45.0097222,-93.3488889
2/16/2005,34.1083333,-117.2888889
2/16/2005,46.216667,-63.483333
2/16/2005,38.9586111,-82.0872222
2/16/2005,41.1747222,-91.8194444
2/17/2005,44.937483,-93.201
2/17/2005,33.5311111,-111.9419444
2/17/2005,36.1658333,-86.7844444
2/17/2005,42.8666667,-88.3333333
2/17/2005,38.2541667,-85.7594444
2/17/2005,33.8544444,-84.2172222
2/17/2005,32.9813889,-82.8102778
2/17/2005,35.7719444,-78.6388889
2/17/2005,35.2147222,-80.0025
2/17/2005,40.8622222,-73.6341667
2/17/2005,45.35,-72.516667
2/18/2005,36.175,-115.1363889
2/18/2005,38.6702778,-89.9844444
2/18/2005,36.9086111,-116.7583333
2/18/2005,40.623333,-74.601111
2/18/2005,34.1747222,-86.8436111
2/18/2005,42.9980556,-78.1877778
2/18/2005,40.7536111,-86.0688889
2/18/2005,35.5511111,-80.4066667
2/18/2005,40.4863889,-86.1336111
2/19/2005,32.3475,-97.3863889
2/19/2005,37.505,-105.0072222
2/19/2005,39.4666667,-87.4138889
2/19/2005,28.8105556,-81.8780556
2/19/2005,38.3030556,-77.4608333
2/19/2005,39.0838889,-77.1530556
2/19/2005,23.810332,90.412518
2/19/2005,39.2905556,-75.6347222
2/19/2005,28.2916667,-81.4077778
2/19/2005,43.1547222,-77.6158333
2/20/2005,-20.265357,57.479053
2/20/2005,40.7683333,-73.5255556
2/20/2005,24.924294,-80.627836
2/20/2005,28.2916667,-81.4077778
2/20/2005,38.8461111,-77.3066667
2/20/2005,36.350412,127.384548
2/21/2005,33.5508333,-79.0416667
2/21/2005,55.166667,-118.8
2/21/2005,36.4336111,-99.39
2/21/2005,53.55,-113.5
2/21/2005,33.4483333,-112.0733333
2/21/2005,42.4733333,-83.2219444
